producto,categoria,seccion,linea,abastecimiento,negocio
DURAZNO EN CUBITO ACONCAGUA 590 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
TABLETA ROCKLETS DOS EN UNO 140 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"NECTAR WATT S LV 200CC, DURAZNO",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PAPA FRITA KRYZPO CREMA CEBOLLA 140GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CHICLE DOS EN UNO X 64 MENTA.,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GOMITA EUCALIPTUS 500 GRS,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
DET POLVO MERKAT MATIC ECONOMICO 3KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
LECHE LONCOLECHE SIN/LACT ENTERA 1 LT,LECHES ESPECIALES,LACTEOS,LECHES,Directo,PERECIBLES
GALLETA GRETEL CHOCOLATE COSTA 85 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LECHE EN POLVO 1+ PROTECTUS NIDO 1.6 KG,LECHE ABARROTES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"COMPOTA NESTLE 120 GR., DURAZNO",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MARSMALLOWS MORF TRENZ VAI ARCOR 120 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
KETCHUP JB DP 1 KG,KETCHUP,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PECHUGA AHUMADA PAVO WINTER 1 KILO,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CERA ESTELAR NATURAL SACHET 1 LT,CERAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
LIMP ANTIGRASA GATILLO CIF 500 ML,LIMPIADORES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
MARSHMALLOW MORF BON O BON 150 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CHOCOLATE ROLLS BLANCO COSTA 140 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ALIM GATO SALMON&SARDINA MASTERCAT 3K,ALIMENTO GATO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA GATOS,Centralizado,NON FOOD
CERV ESCUDO 350 CC LATA.,CERVEZAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
MARGARINA DIET SURENA POTE 500 GR,MARGARINA LIGHT,LACTEOS,MARGARINA,Directo,PERECIBLES
SUCEDANEO JUGO LIMON TRAVERSO 500 CC,VINAGRES Y SUCEDANEOS DEL LIMON,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MORTADELA DE AVE PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ATUN LOMITO EN AGUA COLISEO 170GR,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAPAS FRITAS AMERICANAS LAYS 38GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
TIGRETON PLATANO CHOCOLATE 528 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CHORIZO SAN JORGE 1KG,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ARROZ G2 LARGO BLUE BONNET TUCAPEL 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
AGUA CACHANTUN C/GAS NO RET 500 CC,AGUAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
"YOGHURT SOPROLE GOLD 165 GR, LUCUMA NUEZ",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
SALSA TOMATE ITALIANA POMAROLA 200 GR,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"FLAN NESTLE 110 GR, VAINILLA",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
BON O BON DOYPACK ROCKLTES 130 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GALLETA DONUTS LECHE COSTA 100 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GALLETA CHAMPAÑA COSTA 140 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CARAMELO ALKA MENTOL 400 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
JAMON PIERNA SAN JORGE KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ALIM PERRO CARNE&POLLO&C PEDIGREE 2.7K,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
"LECHE SEMIDESCREMADA LONCOLEC, CHOCOLATE",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
ROLLS CRISPY COSTA 130 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GALLETAS HOLANDA SURTIDO DEU 400 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"BEBIDA LACTEA SEMIDESC. CALO, CHOCOLATE",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
SUPER OCHO 2.0 MANI 42 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
BON O BON LECHE ARCOR 16 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAPA FRITA KRYZPO QUESO 140GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CLORO TRADICIONAL CLORINDA 4 LT,CLOROS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
AZUCAR FLOR IANSA 500 GR,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MANTEQUILLA PAN C/SAL SOPROLE 250 GR,MANTEQUILLA PAN,LACTEOS,MANTEQUILLA,Directo,PERECIBLES
CABELLO LARGO LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"MINISHOT CON PROBIOTICO CALAN, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"BEBIDA LACTEA SEMIDESC. CALO 200, MANJAR",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
YERBA MATE TARAGUI 1 KG,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT SOPROLE BOTELLA 1 KG, DAMASCO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
QUESO GAUDA RODDA LAMINADO SOPROLE KG,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
QUESO GAUDA COLUN LAMINADO KG.,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
CHANCHITO WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
RIGATONI CAROZZI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CERA ESTELAR CAOBA SACHET 1 LT,CERAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
FORTIFICANTE INSTAN BOLSA MILO 300 GR,SABORIZANTES Y FORTIFICANTES PARA LECHE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CERV CORONA EXTRA 355 CC BOT,CERVEZAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
"YOGHURT ACTIVIA 120 GR., NATURAL",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
BANDEJA HUEVO Nº1  14X60X9 GR.,CONFITES DE TEMPORADA,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MASTICABLES FRUTAS PELAYO 1200 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ALIMENTO PERRO BULKY 9 KG,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
ROCKLETS MANI DOYPACK DOS EN UNO 150 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"MERMELADA WATTS DIET 250 GR., DURAZNO",MERMELADAS Y DULCES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HARINA SEMBRADOR 3 KG.,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"AMBIENTAL GLADE 360 C, CAMPOS DE LAVANDA",DESODORANTES AMBIENTALES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
CANDY SURTIDO DOS EN UNO 400 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CORBATITAS LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GALLETA OBLEAS TRAMS BOCADO DEU 140 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CR DENT MAX PROT ANTICARIES COLGATE 90GR,PASTA DENTAL,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
HARINA S/POLVO SELECTA 5 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOG LIGHT TROZO SOPROLE 120 GR, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GANSO VACUNO GR KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
COBERTURA PASTRY CHOC AMBROSOLI 1 KG,PRODUCTOS PARA REPOSTERIA,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
TRIGO MOTE 1 KG,PRODUCTOS NATURALES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PURE DE PAPAS INST MERKAT 2 KG,PURE DE PAPAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MANJAR SOPROLE POTE 400 GRS,MANJAR POTE,LACTEOS,MANJAR,Directo,PERECIBLES
SALCHICHA TRADICIONAL WINTER 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CHORIZO PARRILLERO PF 250 GRS,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ASADO CARNI IMP VAC GRA,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
TALLARINES 78 LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ARROZ G2 LARGO ANGOSTO MIRAFLORES 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PASTA ROMANO MOSTACHOLI Nº42 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ROCKLETS CHOC DOYPACK DOS EN UNO 150 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
QUESO LAMINADO RANCO COLUN KILO,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
BILZ LATA 350 CC.,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
BEBIDA ENERGETICA MR BIG 600 CC,BEBIDAS ENERGETICAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
FETTUCCINE 88 CAROZZI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GALLETA OBSESION MENTA COSTA 85 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PALMITOS EN RODAJAS EL VERGEL 410 GR,CONSERVAS DE VERDURAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
SET TIJERA/CORTAUÑAS/LIMA SIMONDS 3UN,ACCESORIOS BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
BEB FRUTAS TROPICALES GATORADE 500 CC,BEBIDAS FUNCIONALES,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PAPA FRITA QUESO KRYZPO 80 GRS.,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
TALLARINES 87 CAROZZI 1 KG,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ALIM CACHORRO CHAMPION 3K,ALIMENTO CACHORRO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
"ANDINA B.ANCHA 300 CC, DURAZNO",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
"YOG LIGHT TROZO SOPROLE 120 GR, DURAZNO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PUNTA DE PICANA VAC KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
DEO DESINFEC LYSOFORM ORIGINAL 360 ML,DESODORANTES AMBIENTALES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
HARINA MARIPOSA 20KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MANJAR MERKAT BOLSA 1KG,MANJAR BOLSA,LACTEOS,MANJAR,Directo,PERECIBLES
CARACOLES PARMA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LONGANICILLA AL MERKEN LA CRIANZA 280 GR,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
SUPER OCHO OBLEA BAÑADA 29 GR.,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ZANAHORIA BOLSA 1 KG,OTRAS VERDURAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
PAÑAL PREMIUM BABYSEC XXG 16 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
"FLAN NESTLE 110 GR, CHOCOLATE",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PACK TUBIFRUT SABORES EL VERGEL 5x60 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GALLETA CHAMPAÑITA COSTA 85 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
BOLSA BOMBON COQUET 40 UNDS,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PACK GALLETAS COLACION BE COOKIES 5 UN,PASTELES ENVASADOS,PASTELERIA,PASTELERIA ENVASADA,Directo,PRODUCCION
HARINA S/POLVO SUAZO 1 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
HARINA S/POLVO MERKAT 10 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ALFAJOR PELAYO 30 GR,PASTELES ENVASADOS,PASTELERIA,PASTELERIA ENVASADA,Directo,PRODUCCION
CHORICILLO COCKTAIL WINTER 250GRS,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
DURAZNO EN CUBITO MERKAT 590 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CERV CRISTAL 350 CC LATA.,CERVEZAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
DURAZNO EN MITAD ACONCAGUA 425 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAPAS FRITAS SOUR CREAM STAX LAYS 40GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
POROTOS ESPAÑOL SELECTA 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PIZZA FAMILIAR NAPOLITANA MERKAT 462 GRS,PIZZAS Y MASAS,PLATOS PREPARADOS,ALIMENTOS PREPARADOS ASADURIAS,Directo,PRODUCCION
SUAVIZANTE PARA ROPA CLASSIC SOFT 1 LT,SUAVIZANTE,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
CORBATAS SUAZO 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
DET POLVO MERKAT MATIC ECONOMICO 1KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
CHOCOL ROLLS C/MANI CROCANTE COSTA 150GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ROLLS NUTS COSTA 170 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ARROZ G2 LARGO ANCHO MIRAFLORES 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CHORITOS EN ACEITE SAN JOSE 190 GR,CONSERVAS DE MARISCOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
DET POLVO OMO MATIC MULTIACCION 1KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
PASTA MAX WHITE CLEAN MINT COLGATE 103GR,PASTA DENTAL,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
ESPIRALES ROMANO 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
FLAN CHOCOLATE SOPROLE 120 GRS,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
BANDEJA HUEVOS TRENCITO 50 UND,CONFITES DE TEMPORADA,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAÑAL BABYSEC PREMIUM XG 16UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
POROTOS HALLADOS SELECTA 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
BILZ DESECHABLE 500 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
POSTRE CREMA SOPROLE CARAMELO 120 GRS.,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
FORTIFICANTE P/LECHE ACTIG/EST MILO 1 KG,SABORIZANTES Y FORTIFICANTES PARA LECHE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"LECHE SHAKE SHAKE 170 ML LONC, CHOCOLATE",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
DURAZNO EN CUBITOS MERKAT 425 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAÑAL PLUS BABYSEC XG 32 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
CORAZON PALMITO ENTERO DEYCO 410GR,CONSERVAS DE VERDURAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CARBON DE LEÑA MERKAT 2.5 KG,CARBON,ENTRETENCION,TIEMPO LIBRE,Centralizado,NON FOOD
CEREAL DE MAIZ AZUCARADOS MERKAT 700 GR,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
JAMON AHUMADO P.F. 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
YOGHURT NATURAL LIGHT DANONE 145 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
JAMON ARTESANAL G2 SAN JORGE KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
JALEA SOPROLE GUINDA 100 GR,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MOSTAZA TRAVERSO DP 1KG,SALSAS VARIAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PH FAVORITA ACOLCHADO DH 30MT X 4,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
ESPIRALES 5X400GR+SALSA LUCCHETTI 200 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
KETCHUP DOYPACK WATTS 1 KG,KETCHUP,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
VINO TTO CLOS DE PIRQUE 1LT CAJA,VINOS CAJA,PGC ALIMENTACION,VINOS Y LICORES,Centralizado,PGC
"YOGHURT 1+1 PARA LLEVAR SOPRO, CHOCOLATE",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CEREAL ESFERAS DE CHOCOLATE MERKAT 700GR,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CLORO CLOROX 4 LT,CLOROS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
"COMPOTA NESTLE 120 GR., PERA",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PAÑAL RECIEN NACIDO HUGGIES 20 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
DET POLVO BIO FRESCURA 1 KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
PH FAMILIAR CONFORT 8 X 120 MT,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
JUREL NATURAL LA SIRENA 425 GRS,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GOMITA FLIPY 25GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LAVALOZAS LIMON QUIX 500 ML,LAVALOZAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
MARGARINA SOPROLE LIGHT PAN 250 GR,MARGARINA LIGHT,LACTEOS,MARGARINA,Directo,PERECIBLES
MARGARINA CALO POTE 500 GR,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
SAL DE COCINA LOBOS 1 KG,SAL,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
RAMITAS QUESO EVERCRISP 270 GR,SNACKS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GRIEGO SHAKE MANGO MARACUYA 900 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"FLAN NESTLE 110 GR, CARAMELO",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
COLONIA ORIGINAL AMMEN 210 CC,PERFUMERIA BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
CHORIZO VACIO PREFERIDA 8 UND 380 GRS,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PASTA LUCCHETTI FETUCCHETTI 400 GR.,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LIMPIAVIDRIO GATILLO MR.MUSCULO 500 CC,LIMPIADORES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
DET LIQ POPEYE HIPOALERGENICO DP 1LT,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
HELADO INVIERNO YUPANQUI 16 UN,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MARGARINA SOPROLE MIX AIREADA 350 GR,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
GALLETA TODDY 75 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
QUIFARO Nº33 LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAÑAL RECIEN NACIDO HUGGIES P 40 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
YOGUR GRIEGO TROZOS DURAZNO,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MILANESA HUEVO WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
GALLETA DONUTS BLANCO COSTA 100 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT SOPROLE BATIFRUT 165 G, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MORTADELA ALEMANA WINTER KILO,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ADAPTADOR TRIPLE MARFIL,FERRETERIA SOLUCIONES,BAZAR,FERRETERIA,Centralizado,NON FOOD
POSTRE PANNA COTTA FRAMBUESA SOPRO 120G,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PANTRUCAS SUAZO 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAP LATA 350 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
MANJAR BOLSA SOPROLE 1 KILO N413,MANJAR BOLSA,LACTEOS,MANJAR,Directo,PERECIBLES
LECHE NATURAL LONCOLECHE 200 ML,LECHES BLANCAS,LACTEOS,LECHES,Directo,PERECIBLES
SALCHICHA AVE WINTER 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
"YOGHURT BATIDO SOPROLE 120 GR., PLATANO.",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
TRIPACK GALLETA SALV LIGHT SELZ 642 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CHOCOLATE C/MANI ROCKLETS 35 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
FRUTALIS DURAZNO 0% AZ EL VERGEL 4X100GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
SOBRECOSTI VAC GRA KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
"YOGHURT BATIDO SOPROLE 165 GR, VAINILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"YOGHURT LIGHT SOPROLE 120 GR, PIÑA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
